Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
2,5,9,41.773172,39.754256,42.216452
2,5,10,41.635176,40.478944,43.234876
2,5,11,41.687464,39.735748,43.467744
2,5,12,40.049564,39.519008,43.081012
2,5,13,39.761324,39.011344,42.826228
2,5,14,39.136484,37.635148,41.614664
2,5,15,35.556472,35.541684,38.603796
2,5,16,13.967435,28.183728,29.409262
2,5,17,0,0,0
2,5,18,0,0,0
2,5,19,0,0,0
2,5,20,0,0,0
2,5,21,0,0,0
2,5,22,0,0,0
2,5,23,0,0,0
2,6,0,0,0,0
2,6,1,0,0,0
2,6,2,0,0,0
2,6,3,0,0,0
2,6,4,0,0,0
2,6,5,0,0,0
2,6,6,0,0,0
2,6,7,0.412802594,9.585481,16.130516
